date,open,high,low,close,volume
2002-06-28,9009.19,9420.85,9009.19,9379.92,176.27M
2002-07-01,9379.92,9616.51,9368.47,9564.99,110.72M
2002-07-02,9564.99,9564.99,9048.65,9134.97,73.79M
2002-07-03,9134.97,9141.39,8514.03,9008.37,150.48M
2002-07-04,9008.37,9147.64,8991.53,9059.96,76.37M
2002-07-05,9059.96,9452.09,8799.47,9351.16,125.10M
2002-07-08,9351.16,9351.16,8709.53,8912.16,97.80M
2002-07-09,8912.16,8983.01,8542.04,8747.92,111.32M
2002-07-10,8747.92,8972.65,8726.29,8916.46,86.07M
2002-07-11,8916.46,9199.79,8824.83,8990.20,170.18M
2002-07-12,8990.20,9499.41,8984.48,9499.41,184.75M
2002-07-15,9499.41,9500.38,9240.59,9396.68,139.68M
2002-07-16,9396.68,9657.65,9355.39,9555.65,122.06M
2002-07-17,9555.65,10530.69,9555.65,10523.72,312.03M
2002-07-18,10523.72,10803.59,10353.51,10435.34,282.79M
2002-07-19,10552.29,10638.13,10302.70,10472.98,211.42M
2002-07-22,10472.98,10472.98,10013.11,10116.48,106.86M
2002-07-23,10116.48,10385.42,9913.33,10133.54,134.86M
2002-07-24,10133.54,10156.75,9634.48,9714.96,124.70M
2002-07-25,9714.96,10095.13,9688.69,9753.83,120.95M
2002-07-26,9753.83,10069.12,9687.37,10069.12,115.25M
2002-07-29,10069.12,10193.82,9882.70,10179.79,118.33M
2002-07-30,10179.79,10464.36,10179.79,10344.17,184.33M
2002-07-31,10344.17,10344.17,10047.90,10236.46,111.55M
2002-08-01,10236.46,10582.03,10236.46,10582.03,-
2002-08-02,10582.03,10980.77,10582.03,10781.61,301.03M
2002-08-05,10781.61,10987.81,10536.13,10639.48,193.37M
2002-08-06,10639.48,10639.48,10336.75,10599.38,119.95M
2002-08-07,10599.38,10741.65,10436.88,10522.74,133.31M
2002-08-08,10522.74,10660.20,10479.91,10595.16,137.92M
2002-08-09,10595.16,10653.69,10325.93,10415.63,94.21M
2002-08-12,10415.63,10415.63,10116.36,10188.64,82.90M
2002-08-13,10188.64,10277.59,10086.78,10251.72,72.78M
2002-08-14,10251.72,10251.72,9964.86,10038.47,92.18M
2002-08-15,10038.47,10177.07,9500.24,9674.78,137.35M
2002-08-16,9674.78,9943.50,9674.78,9921.76,100.38M
2002-08-19,9921.76,9921.76,9687.32,9829.57,80.38M
2002-08-20,9829.57,9893.36,9574.63,9662.57,68.82M
2002-08-21,9662.57,9788.48,9517.80,9630.50,95.26M
2002-08-22,9630.50,9830.18,9347.26,9463.61,96.37M
2002-08-23,9463.61,9483.09,9266.91,9349.84,82.55M
2002-08-26,9349.84,9364.93,9127.43,9364.93,66.29M
2002-08-27,9364.93,9399.05,9202.72,9277.27,66.39M
2002-08-28,9277.27,9394.61,9160.34,9394.61,72.96M
2002-08-29,9394.61,9613.86,9299.65,9547.30,114.32M
2002-09-02,9547.30,9547.30,9320.35,9388.86,46.33M
2002-09-03,9388.86,9499.28,9203.17,9307.00,86.54M
2002-09-04,9307.00,9469.79,9187.64,9469.79,74.72M
2002-09-05,9469.79,9524.64,9277.47,9399.87,84.10M
2002-09-06,9399.87,9653.31,9327.71,9653.31,83.40M
2002-09-09,9653.31,9656.11,9388.07,9412.16,-
2002-09-10,9399.38,9399.38,8870.52,9008.26,98.56M
2002-09-11,9008.26,9268.47,8947.60,9268.47,104.29M
2002-09-12,9268.47,9450.74,9153.69,9234.25,107.37M
2002-09-13,9234.25,9260.22,9070.04,9249.21,72.08M
2002-09-16,9249.21,9251.84,9008.70,9093.33,42.76M
2002-09-17,9093.33,9268.79,9093.33,9224.54,61.57M
2002-09-18,9224.54,9364.90,9164.43,9257.54,74.37M
2002-09-19,9257.54,9273.03,9124.25,9263.78,80.00M
2002-09-20,9263.78,9325.12,9132.40,9325.12,66.90M
2002-09-23,9325.12,9387.46,9211.56,9282.25,71.41M
2002-09-24,9282.25,9282.25,9009.62,9072.02,66.62M
2002-09-25,9072.02,9119.21,8896.29,9119.21,73.02M
2002-09-26,9119.21,9143.92,8852.17,8945.30,70.09M
2002-09-27,8945.30,8957.22,8763.14,8878.09,62.92M
2002-09-30,8878.09,8878.09,8681.05,8842.24,53.13M
2002-10-01,8842.24,9082.38,8714.32,9057.45,104.12M
2002-10-02,9057.45,9221.00,8904.14,9001.18,84.39M
2002-10-03,9001.18,9001.18,8808.63,8893.67,44.16M
2002-10-04,8893.67,8975.35,8821.34,8932.58,70.70M
2002-10-07,8932.58,8932.58,8759.18,8912.54,47.13M
2002-10-08,8912.54,8938.79,8689.16,8809.12,64.05M
2002-10-09,8809.12,9145.58,8780.36,9145.58,117.10M
2002-10-10,9145.58,9349.45,8939.73,9320.08,156.70M
2002-10-11,9320.08,9363.48,9167.86,9307.04,141.38M
2002-10-14,9307.04,9307.04,8959.39,9029.59,76.88M
